Young's Modulus (Material),Poisson's Ratio (Material),Young's Modulus (Equipment),Poisson's Ratio (Equipment),Coefficient of Restitution (Interaction),Shear Modulus (Material),Shear Modulus (Equipment),Archard Wear Constant,Plate Angle,Particle Size,Factory Z Velocity,Damping Coefficient (η),Wear Rate
17362718192,0.20199797,39457784598,0.20660927,0.460383024,7222440728,16350688492,6.51E-09,51.44252458,0.023326977,-7.781412709,-3180.782219,0.049544491
8109379375,0.283504604,1.13E+11,0.333756599,0.454360809,3159076854,42361842148,9.89E-09,25.38400773,0.015299109,-2.023643444,-1053.581912,0.003759089
11083391770,0.311907036,1.44E+11,0.258958206,0.58153148,4224152881,57377730848,6.68E-09,67.13891508,0.018782874,-0.126992676,-1684.296805,0.032015293
12716399811,0.284090409,1.94E+11,0.293163357,0.629790796,4951520439,75102153816,4.86E-09,60.77429653,0.0296694,-6.359844471,-3950.373634,0.038026588
9696883067,0.257653405,1.17E+11,0.219675038,0.218978977,3855149211,48018953975,6.11E-09,43.53237489,0.034624442,-7.225996704,-13649.56876,0.085006393
7271861687,0.237873092,1.54E+11,0.239604006,0.250159407,2937240389,62219637507,1.43E-09,57.52347033,0.012394053,-3.85075731,-1225.472081,0.003045887
11399096327,0.204984988,1.99E+11,0.269729688,0.397662524,4729974413,78525725810,3.28E-09,50.85761593,0.02314768,-5.084757014,-3299.277105,0.013854412
9602539988,0.347321837,2.51E+11,0.345465895,0.234796739,3563565781,93244242636,2.41E-09,67.68339775,0.023995568,-3.159490838,-6392.262011,0.006474829
11682962057,0.258253455,1.52E+11,0.346981858,0.220641382,4642531284,56462694090,9.57E-09,31.18718139,0.033966218,-8.17764672,-14015.72402,0.109311105
15297879735,0.267826113,85829076123,0.211280008,0.279784268,6033114313,35429081448,7.69E-09,10.57880709,0.025397429,-2.709724318,-7350.096708,0.006978573
11726095087,0.225833819,34253228476,0.209285306,0.580192887,4782905688,14162591863,7.20E-09,35.69593801,0.005486728,-3.847318213,-133.8390442,0.00616496
9513603805,0.209273001,31976426464,0.320662985,0.572414479,3933604652,12106202272,9.59E-09,13.02432741,0.015329687,-1.009432933,-838.2692683,0.002606675
14089461238,0.282902495,2.41E+11,0.224769848,0.400391969,5491243993,98587976858,7.30E-09,67.78951495,0.0093988,-1.189714559,-692.3170209,0.00401446
7672554138,0.209357502,2.03E+11,0.285402891,0.586570152,3172161304,79064281786,9.88E-09,26.74602008,0.016723465,-3.477908409,-982.8560978,0.013243208
15377216332,0.212619356,2.05E+11,0.210981592,0.710485254,6340495993,84538197670,3.03E-09,33.34971035,0.008154374,-8.904294062,-218.5634541,0.008544157
8022786341,0.264845266,1.67E+11,0.241922015,0.544402562,3171449725,67402271430,8.90E-09,44.1826189,0.026796311,-5.169238347,-3337.754052,0.047978307
21697658551,0.254760931,70123782257,0.242740936,0.313148802,8646132506,28213354951,8.59E-09,10.48243109,0.025503865,-0.814390941,-6182.534251,0.002779359
10979985361,0.347369795,2.36E+11,0.313149238,0.528729398,4074599788,89939030555,8.75E-09,8.698056174,0.037176472,-6.968688174,-6543.430164,0.038693893
20664197559,0.272692965,32663453978,0.336628951,0.603812597,8118296450,12218594376,2.80E-09,24.81005526,0.029453868,-0.565056454,-3996.217029,0.001842025
25125819180,0.336186995,1.89E+11,0.263803533,0.229480661,9402059469,74917568722,3.97E-09,54.16855218,0.024074947,-8.933725398,-8939.727291,0.053818037
25296993885,0.299036699,1.40E+11,0.203254521,0.723232805,9736828031,58155824004,6.76E-09,31.56823701,0.028337131,-6.405528105,-3101.511285,0.040038588
19366792818,0.219740384,2.29E+11,0.206815102,0.571030623,7938899571,94915240568,7.26E-09,66.66604245,0.021068116,-2.274870575,-2580.875052,0.013370524
14378573325,0.215589147,1.95E+11,0.345306812,0.392971772,5914240579,72360632420,3.39E-09,55.60702298,0.033942704,-7.908271309,-8831.090226,0.048125624
23466861973,0.250972619,51011420529,0.247522196,0.581404679,9379446684,20445095360,6.58E-09,47.25808506,0.030464738,-0.877076237,-4177.328346,0.003360515
23438108383,0.245718438,2.44E+11,0.276386932,0.468332695,9407466277,95642204288,4.04E-09,48.53154129,0.03445134,-2.45814383,-11101.68491,0.013348803
5124213748,0.267113912,55626414693,0.280941249,0.355335342,2022002008,21713101496,9.63E-09,24.67695448,0.032851574,-2.572356563,-5585.28621,0.019426114
25090918121,0.333693854,1.98E+11,0.324726344,0.383921189,9406550853,74691012069,3.35E-09,24.77032302,0.011891373,-6.802433504,-1362.074143,0.00665276
10181104768,0.208002619,2.03E+11,0.207556922,0.672798295,4214024296,84249900680,5.66E-09,15.64146139,0.017079616,-0.281151918,-769.9287126,0.001036975
8744565584,0.244530874,61190189572,0.267639995,0.429691456,3513197531,24135476094,3.15E-10,39.51279469,0.008387265,-8.893349841,-388.3703646,0.001394892
23308313304,0.218034324,1.31E+11,0.329084607,0.228954648,9568003484,49170980420,7.77E-09,4.533963066,0.011780914,-5.485697228,-1919.625075,0.010367623
10205565603,0.233797821,49149449336,0.319477136,0.43985552,4135833857,18624593025,7.81E-09,53.93304194,0.015404728,-0.914994797,-1156.066971,0.004354457
13117648780,0.225632586,1.77E+11,0.241785919,0.469814755,5351378925,71404528812,5.84E-09,8.769016382,0.037651352,-4.732212413,-10231.74888,0.015511757
10899853509,0.289327368,1.06E+11,0.29003046,0.230539147,4226953440,41254659828,1.77E-09,33.8583807,0.021339836,-3.61101945,-4460.199564,0.004185658
18733737849,0.207844639,2.10E+11,0.257275888,0.4454029,7755027942,83484952643,7.84E-09,38.69363844,0.028208661,-7.55686043,-5672.777191,0.068470407
12237822829,0.343064574,2.51E+11,0.286705886,0.230706994,4555932405,97601654779,1.87E-09,11.72803648,0.027387555,-1.534970279,-9358.404795,0.00173668
25160489360,0.326902341,74933415526,0.310460894,0.533915393,9480912268,28590481351,2.53E-10,31.83240936,0.011934587,-9.225081465,-1046.679242,0.00144896
24110568003,0.290059561,1.91E+11,0.327940315,0.653070232,9344749935,71823730482,8.13E-09,62.97345195,0.020121544,-9.565996832,-1928.258914,0.095202018
17371762567,0.230643998,1.55E+11,0.236918643,0.497445503,7057996708,62783038282,8.36E-09,58.89650749,0.027949295,-9.212920542,-4786.841661,0.122822266
12536654001,0.334421764,74423379661,0.249653767,0.403859823,4697410647,29777599854,2.24E-09,40.42752954,0.03733279,-5.767690013,-10514.80136,0.017623318
7043235989,0.308824806,1.95E+11,0.326852182,0.446893713,2690671799,73447963547,4.52E-09,16.25812452,0.030264182,-6.812546135,-4701.33983,0.016828494
10606890557,0.224203162,2.23E+11,0.272552857,0.549802053,4332161068,87776123428,5.50E-09,41.5540914,0.031181415,-8.323246413,-4357.26971,0.06457925
8869541723,0.324103841,2.11E+11,0.251660673,0.345009276,3349262138,84126654344,7.84E-09,56.95980118,0.033231841,-1.797142053,-8801.195257,0.019552052
18498020463,0.295738801,63296820264,0.28129472,0.33090667,7138020585,24700336025,8.74E-09,44.48748393,0.027316065,-4.447842329,-7274.741541,0.038794846
13798388638,0.23258087,86093759228,0.29888939,0.216317429,5597356315,33141297447,5.65E-09,13.50697728,0.028790105,-9.80776302,-8673.063138,0.047726692
18140321617,0.285897353,2.21E+11,0.31879929,0.504512718,7053565192,83885473832,8.28E-09,51.5348081,0.026018528,-8.202467126,-4594.438007,0.087607113
13797884432,0.310417198,28733841480,0.270959159,0.758597158,5264691449,11303998747,4.15E-09,50.62395527,0.018415674,-8.985635399,-674.0435076,0.035857537
11066448455,0.284044929,2.55E+11,0.274508269,0.384964197,4309213877,99965889370,9.50E-09,7.849244986,0.017906651,-7.116228988,-2179.711585,0.023354665
12318567774,0.228540898,2.50E+11,0.255952723,0.573495027,5013495193,99654621489,2.35E-09,62.04814964,0.023750109,-2.047148202,-2979.912033,0.003489361
17472873970,0.224798674,65715764437,0.223268673,0.652243787,7132957579,26860724022,1.43E-09,1.002759115,0.023444494,-0.492812482,-2155.391611,0.000325475
11950474002,0.244982514,44152192586,0.218462766,0.44207995,4799454556,18117990073,8.80E-09,8.142094431,0.022717011,-4.064497354,-3220.084255,0.012928778
8384496791,0.236558453,1.47E+11,0.346706703,0.495123429,3390254934,54677208169,2.65E-09,29.7697579,0.007001015,-5.780557607,-249.9458344,0.002558927
14346217599,0.283053025,1.08E+11,0.246786024,0.58757635,5590656550,43124511621,2.30E-09,64.8511299,0.006405895,-9.348789669,-157.3142793,0.011432389
15706582301,0.282855565,68584388418,0.347287136,0.703881157,6121726689,25452773430,5.41E-09,16.00520895,0.026559244,-5.210339362,-1868.105323,0.011813661
14551916580,0.271575948,45671878451,0.202669387,0.302309645,5722000562,18987711402,4.30E-10,48.26926774,0.028736111,-5.232223341,-6950.636403,0.002582107
14248891490,0.22169725,2.30E+11,0.222338785,0.679278667,5831596776,94285876223,3.42E-09,26.79622272,0.027283659,-7.184470576,-2460.291461,0.016327987
19277934771,0.207088364,37948335826,0.308846965,0.416895751,7985303871,14496857482,6.93E-09,46.61249756,0.0272154,-3.155357591,-4803.423988,0.017620404
23857188018,0.305275472,1.54E+11,0.300058142,0.588183001,9138755968,59262476852,9.44E-09,24.27400358,0.008533371,-0.022632909,-394.2277218,0.000932698
17642781045,0.20977546,92354248645,0.332507913,0.659393123,7291758524,34654296505,5.72E-09,37.02880359,0.015524987,-1.774891707,-811.865718,0.004298689
17362547699,0.262565624,2.29E+11,0.249814242,0.427830473,6875899109,91697016165,9.47E-09,48.68650224,0.017830727,-7.590845197,-2549.987935,0.058651846
20591591602,0.331738385,1.52E+11,0.341757119,0.645661838,7731094873,56539823803,5.92E-10,31.65205069,0.037238282,-0.655476975,-6707.934522,0.000512253
19942055774,0.205893223,1.39E+11,0.314164527,0.298543357,8268582739,52874822486,9.81E-09,35.77525891,0.023525981,-6.878265077,-5343.007395,0.047615185
22865554337,0.276489354,1.10E+11,0.248010227,0.471721604,8956421874,44136515583,6.21E-09,61.40997983,0.012796921,-7.739114327,-1285.810306,0.035656324
11482273800,0.304723053,2.28E+11,0.229662357,0.277534195,4400272446,92895843923,6.70E-09,31.60563726,0.023785036,-4.732342443,-6199.529368,0.021369758
9377659836,0.331914984,49123691956,0.268939387,0.323464457,3520367271,19356201112,4.15E-09,58.68837252,0.023646323,-9.679079027,-3494.079481,0.065331914
10268244156,0.311680307,1.74E+11,0.270397984,0.66348582,3914156559,68329123282,9.10E-09,66.76412528,0.007710273,-0.951992017,-166.5489175,0.003784214
12057809304,0.296468207,2.56E+11,0.306002866,0.316846127,4650252602,98120747540,8.56E-09,48.86566631,0.013542109,-6.883159135,-1929.315878,0.05213623
7428612384,0.233405193,2.48E+11,0.258787624,0.367044282,3011424157,98340605615,3.39E-10,7.131890515,0.010111682,-2.829766969,-702.144806,0.000107104
7203917886,0.270142822,1.99E+11,0.343269027,0.694225862,2835869226,74221507143,6.89E-09,42.16950379,0.017742319,-1.570455782,-829.9497164,0.007551915
23205279181,0.213496346,39371382757,0.310891394,0.598563464,9561330473,15017026943,1.75E-09,37.7807224,0.019188888,-2.648819321,-1456.83549,0.001288113
23392200228,0.211917709,48854579143,0.215808194,0.423154408,9650902882,20091400676,1.32E-09,43.26685781,0.019624934,-1.530152033,-2636.380679,0.001065743
7206980901,0.342704512,1.31E+11,0.301393587,0.749356978,2683755375,50359516022,9.25E-09,43.75932305,0.033739568,-0.803406184,-2152.379454,0.015686828
13350127745,0.334320734,2.11E+11,0.23292429,0.769166068,5002593232,85747248112,3.18E-09,42.146547,0.028607539,-0.99090606,-1833.036059,0.003556444
6723538108,0.294613734,59820316580,0.301438334,0.273292383,2596735200,22982386118,9.05E-09,2.802542472,0.00524651,-4.929592091,-222.3857356,0.003328727
12165499812,0.266331819,1.14E+11,0.240854085,0.568409847,4803440785,45792380368,9.47E-09,36.72966083,0.02213799,-4.019149481,-2233.119851,0.023402833
11597270737,0.318339255,1.19E+11,0.20650276,0.52804566,4398439436,49219944907,3.28E-09,62.55890992,0.005416679,-7.006122136,-128.5931025,0.007542432
25115749727,0.33415551,2.33E+11,0.270244811,0.33250413,9412602033,91528672955,3.50E-09,14.34877598,0.025180339,-5.19390543,-8676.581746,0.007374622
18758683166,0.280501936,2.38E+11,0.241208289,0.359384837,7324738308,95909405701,6.25E-09,64.5425109,0.03525995,-2.267424399,-10851.93105,0.011562329
20557460516,0.225671618,87320088049,0.341841396,0.242891286,8386202393,32537410276,5.95E-09,15.11199768,0.013670496,-0.940711135,-2576.928601,0.001351366
6443763862,0.284738371,85351859595,0.275218584,0.478643593,2507811711,33465580192,9.83E-09,66.31917459,0.014606299,-0.071771206,-838.104641,0.003287291
5592518181,0.211832113,1.70E+11,0.253220517,0.325778917,2307464096,68006334331,3.47E-10,2.836000965,0.038546295,-0.532013646,-9527.179144,0.000162103
7723675856,0.327124211,75510591750,0.340603139,0.797828722,2909929527,28162917703,5.93E-09,27.57432454,0.017927089,-7.914379067,-555.0150852,0.031268033
12578495405,0.210729144,35437120431,0.305668275,0.319690712,5194595118,13570491488,6.77E-10,13.5024058,0.029556716,-5.73406586,-5846.260637,0.002088389
20410060681,0.346108395,1.29E+11,0.324563756,0.536080691,7581135647,48508356406,5.80E-09,24.40684005,0.028469979,-5.158630397,-5175.167797,0.019258975
25095185877,0.274030523,59176072261,0.278052203,0.361285522,9848738088,23150882302,7.56E-09,33.6297791,0.029946,-2.810663554,-8647.351705,0.012518562
23285104099,0.217698926,2.28E+11,0.254720762,0.329935019,9561108905,90909790513,4.03E-09,59.41138374,0.022264523,-1.636605246,-5261.986627,0.003455356
15555237406,0.347524581,50398319299,0.213019273,0.616851168,5771782433,20773915319,3.31E-09,11.74606751,0.023714192,-2.462152485,-2248.836504,0.002802054
23756151313,0.202520281,2.27E+11,0.304952026,0.585320593,9877651002,87076269144,9.59E-09,27.36905569,0.019460305,-4.258932781,-2449.613969,0.018973483
19609658027,0.203089189,2.08E+11,0.294975183,0.548797961,8149710846,80339707238,5.13E-09,11.18583346,0.034832135,-8.624664884,-8455.653746,0.038602591
15228211722,0.334881123,2.09E+11,0.309432317,0.656783931,5703957999,79614859125,2.83E-09,59.71106453,0.005918209,-5.669102578,-132.3512624,0.005981795
6549793961,0.285160562,2.22E+11,0.29529425,0.613331107,2548239556,85884801421,3.46E-09,46.21463793,0.007299079,-9.130802592,-138.7990319,0.015702019
19842168929,0.300313488,90548569014,0.234853162,0.620374342,7629763559,36663698890,7.83E-09,10.06709867,0.038845201,-5.399052566,-8191.937961,0.025150112
17838100574,0.270786298,27867371863,0.317510559,0.583306954,7018528845,10575767940,7.14E-09,4.260927513,0.005141116,-2.989239549,-127.9200854,0.000686286
15872097462,0.283213596,2.18E+11,0.243419458,0.491236841,6184511104,87595526130,9.10E-09,4.593905825,0.008674423,-5.633220587,-429.6464243,0.007507182
18501158586,0.315977016,2.31E+11,0.267711038,0.660926839,7029438341,91046357439,1.82E-09,4.636148126,0.025051138,-0.583106435,-2858.219848,0.000387029
5233148175,0.236973956,1.68E+11,0.280052304,0.665221538,2115302489,65503266137,3.29E-09,28.6987761,0.02148264,-8.106558235,-887.8524239,0.01547913
18080295408,0.236226177,28228463909,0.262895237,0.366535884,7312697202,11176090894,3.64E-09,17.43618366,0.039142814,-1.611329385,-11950.81983,0.004497082
12573646065,0.250397132,56757389762,0.267405774,0.625805224,5027861046,22391167428,1.60E-10,17.83305137,0.013318265,-3.241159403,-604.7476245,0.000123207
16180735699,0.282071091,1.83E+11,0.291907239,0.377535577,6310389423,70666915060,4.10E-09,21.2721113,0.005786462,-2.393899797,-332.9438781,0.002484533
8972902924,0.336583492,2.50E+11,0.26986029,0.283866005,3356656348,98367404407,9.09E-10,2.589079394,0.006101947,-9.758120482,-282.8681591,0.001635121
6326689059,0.341976735,2.50E+11,0.275571156,0.530159384,2357227549,98090552299,2.30E-09,20.49641568,0.007461121,-4.450160418,-240.8550735,0.00140888
21550548053,0.341031009,44354633253,0.295177494,0.542473323,8035067015,17122994129,4.93E-09,37.07491613,0.033640945,-9.629263571,-6636.411965,0.076292219
20163150092,0.269404894,1.53E+11,0.284883311,0.570834419,7941969572,59522745719,9.68E-09,35.06189786,0.021227313,-4.247547816,-2969.64083,0.024881577
7770862122,0.22407217,2.56E+11,0.281209701,0.244012165,3174184625,99978251077,3.58E-09,21.02474325,0.005927287,-7.804770491,-339.1336406,0.005788702
14416787634,0.254157768,1.66E+11,0.308845128,0.568678149,5747597311,63436916661,8.37E-09,14.17783423,0.022609975,-2.342021761,-2137.884234,0.006349987
5843107239,0.297494668,2.56E+11,0.345963664,0.568933566,2251688344,95189095512,2.58E-09,19.45394782,0.026971449,-3.167492438,-2086.033863,0.003404668
25747148900,0.330749091,1.80E+11,0.259196213,0.775862705,9673930672,71564848945,3.36E-09,23.68115718,0.035768301,-6.757341877,-3761.353774,0.019207829
19831521798,0.255468613,24831190245,0.23718239,0.714510334,7898055595,10035379767,6.91E-09,34.18811968,0.039783961,-5.560469223,-4213.444744,0.045309362
13918943841,0.317746396,1.68E+11,0.299939321,0.614582401,5281343923,64571997916,4.17E-09,5.523465398,0.027928126,-4.647526286,-2944.747377,0.007823424
15105899184,0.309902793,2.36E+11,0.311701629,0.65588488,5766038239,89991408903,1.54E-10,20.44214374,0.021095008,-8.587045098,-1993.206862,0.000945066
16559222236,0.203187302,1.94E+11,0.237832511,0.755518267,6881398354,78488330814,5.01E-09,44.0700161,0.008554563,-1.299556341,-218.0895916,0.003944249
24697883651,0.33730171,79312351516,0.257843299,0.310505759,9234222715,31527119306,2.10E-09,31.26505281,0.028099356,-1.823843166,-8933.368167,0.001755298
12922907310,0.271871727,1.42E+11,0.320420473,0.503576822,5080271474,53872362991,4.29E-09,37.55234085,0.037225745,-6.01681505,-8652.231182,0.031667943
11571759253,0.210245336,1.63E+11,0.285536294,0.718924986,4780749367,63524705433,4.61E-10,42.31302885,0.024716968,-0.904611412,-1571.938648,0.000263922
5730519861,0.227008632,2.20E+11,0.271717409,0.329711976,2335158738,86486671979,6.57E-09,26.13163745,0.02098473,-9.894705982,-2972.90788,0.066319967
24399062294,0.245082176,85139531448,0.202180686,0.676243941,9798173471,35410455539,1.68E-09,56.37436534,0.022071244,-2.16204921,-2220.510125,0.003097332
7990320760,0.291576213,43179959131,0.296197789,0.548606915,3093244006,16656392829,1.50E-09,11.10283861,0.025667759,-5.883322064,-2400.84443,0.004463176
16279237001,0.207305293,94288349664,0.248866354,0.41166288,6741972017,37749575598,8.98E-09,38.01535097,0.038050494,-1.971540566,-10572.35788,0.019800132
5121162864,0.279678156,2.50E+11,0.267227156,0.580402219,2000957366,98690806142,5.05E-09,30.79348795,0.038825752,-4.521345392,-4450.010081,0.02125101
5430949867,0.257148466,35776921817,0.318482615,0.797816411,2160027241,13567460583,5.49E-09,23.86490361,0.029889817,-8.802307366,-1120.625742,0.045524211
16816108971,0.263073233,1.14E+11,0.264576737,0.444064563,6656822634,44879685203,9.65E-09,21.1953955,0.006117846,-6.171479256,-311.3906958,0.01013448
24808655037,0.319215386,2.21E+11,0.293661326,0.368911995,9402806890,85466191073,1.90E-09,28.49438899,0.031927794,-4.640209686,-13201.42053,0.007926262
21354212550,0.203448435,85067493837,0.265647868,0.362047126,8872092864,33606303921,5.63E-09,66.04651568,0.030761271,-9.219762511,-7786.529316,0.101509524
16159480892,0.31750094,1.18E+11,0.269265356,0.427684234,6132625943,46580660215,3.84E-09,8.40083037,0.017003529,-0.944900073,-2302.750598,0.00054832
14133329769,0.330038535,2.16E+11,0.208235534,0.235529937,5313127928,89249969516,5.20E-09,16.78683417,0.008125124,-9.516693993,-760.353667,0.014832522
10910330220,0.252688288,63290591554,0.211062685,0.772370932,4354766594,26130188105,7.11E-09,5.17423662,0.014946209,-1.960055876,-435.2525947,0.002915717
12185851590,0.27895212,76994179756,0.326868684,0.344871408,4763998355,29013488940,2.10E-09,55.70625357,0.027199455,-8.289546624,-5760.014621,0.027930282
20286931475,0.211673132,2.12E+11,0.274583163,0.402298066,8371453874,83119876055,9.39E-09,23.69213348,0.034198041,-1.439678626,-8855.091687,0.004708777
6040540707,0.251627784,83504332786,0.228501881,0.39724082,2413073912,33986245405,1.24E-09,39.03846841,0.025622,-2.206546995,-3262.107989,0.001850562
9572406490,0.28039547,2.25E+11,0.232423572,0.664253549,3738066370,91241899911,6.88E-09,55.2622669,0.024201464,-4.937252072,-1567.794471,0.027819744
18266532305,0.221317542,44729065936,0.321788246,0.382353234,7478207623,16919906074,5.75E-09,21.75413592,0.013179316,-1.332041761,-1581.980648,0.003262565
9179452879,0.338327881,2.52E+11,0.308079063,0.503192846,3429448421,96232006697,2.75E-09,38.79398707,0.025600687,-0.908577318,-3502.522437,0.001975318
23412919911,0.271451168,66243859493,0.294147142,0.386595148,9207164422,25593635115,2.20E-09,15.84347653,0.012775493,-8.771011515,-1352.499605,0.006773183
11137257866,0.313584445,45723287842,0.304085266,0.707915121,4239262238,17530789224,7.91E-09,13.09048072,0.032318662,-8.924064492,-2481.880213,0.056800392
8553491340,0.345734266,2.49E+11,0.324550898,0.324035556,3178001615,94013443043,5.63E-09,2.443779275,0.0259955,-2.01661634,-5852.159276,0.003247771
18231141527,0.349772604,1.88E+11,0.228492865,0.52414541,6753412196,76382520386,7.71E-10,6.585510512,0.035503114,-0.790793422,-9107.937745,0.000559291
17207377534,0.319833757,57721073050,0.31795447,0.316916602,6518767019,21897976887,9.29E-09,27.14703564,0.023097099,-2.169379853,-5487.259505,0.009501832
14468181176,0.264992144,2.00E+11,0.310462226,0.395358646,5718684200,76334850254,1.78E-09,35.33397578,0.024567706,-4.952578669,-5021.937357,0.006190869
6215064523,0.219811788,2.51E+11,0.293349623,0.418589251,2547550607,96858729736,5.65E-09,69.4335307,0.008028591,-3.830247042,-367.7929544,0.009065859
24153678985,0.211123495,1.83E+11,0.290919931,0.348453726,9971600372,71018042019,1.39E-09,47.94624519,0.015221094,-1.154883196,-2737.274196,0.001460842
23142800678,0.331686568,66909634553,0.316147504,0.454139524,8689282159,25418744608,7.48E-09,0.974038301,0.035153701,-8.870153671,-8338.863445,0.034102674
24136038249,0.335999377,33993441757,0.290674724,0.429015249,9032952656,13168864752,2.60E-09,33.61624607,0.030313035,-8.133309361,-7250.991015,0.024242413
21410010938,0.253151442,1.68E+11,0.292996164,0.452995282,8542467505,64920987496,6.50E-09,62.67242932,0.026554642,-2.539222119,-5094.42498,0.013828234
21550958031,0.211345061,1.73E+11,0.245909511,0.402756888,8895466174,69551853350,4.97E-09,42.14706242,0.01868975,-8.687243452,-2876.431702,0.039098363
21012857860,0.268218823,35908877587,0.317004697,0.798324507,8284397568,13632782659,7.32E-09,60.50269919,0.032910447,-4.108320746,-2416.42195,0.027565264
21058489498,0.223185179,1.77E+11,0.258488834,0.642524831,8608054553,70485037877,6.90E-09,68.00258236,0.026823064,-3.518255869,-3487.838752,0.016533763
9055403355,0.330131902,2.34E+11,0.33410495,0.410812703,3403949391,87565285967,1.07E-09,28.14007043,0.011888325,-4.199678445,-974.9379313,0.001304333
19285543592,0.334554562,1.28E+11,0.255958657,0.362133867,7225460892,51108427751,6.02E-09,44.55514751,0.018357803,-1.627983469,-2948.868511,0.006337974
26157859237,0.348597112,2.24E+11,0.302715099,0.396768091,9698174127,86022830990,5.95E-09,62.80414456,0.018569779,-4.740731376,-3352.337221,0.021267912
22929599089,0.336371251,1.79E+11,0.234444185,0.621584302,8579052816,72346530812,3.01E-09,39.02614502,0.023853325,-3.171112603,-3122.941803,0.007094547
18501483489,0.32037815,1.13E+11,0.26303922,0.620984958,7006130589,44753733107,4.95E-09,14.90623848,0.012600907,-0.109335718,-753.3906547,0.000700352
16488528289,0.230305596,73173427856,0.265352696,0.433893435,6700988901,28914241892,3.31E-09,28.62395578,0.015251521,-5.655775999,-1715.277601,0.008697937
5546630166,0.205145743,1.68E+11,0.22759257,0.536033353,2301227962,68589175338,7.30E-09,38.76439001,0.027734118,-4.676486215,-3009.522237,0.031174588
6137331911,0.263502589,47111941234,0.270666884,0.581055119,2428697799,18538273806,7.91E-09,51.20549291,0.01068064,-8.403132323,-337.0067825,0.039865715
